,Rank,Title,Start Year,End Year,Rating,Duration,Votes,Genre,Certificate,Primary Genre
215,215,Trailer Park Boys,2001,2018,8.6,30 ,45479,"Comedy, Crime",TV-MA,Comedy
216,216,The Newsroom,2012,2014,8.6,55 ,117735,Drama,TV-MA,Drama
217,217,Mr Inbetween,2018,2021,8.6,30 ,19625,"Crime, Drama",TV-MA,Crime
218,218,Early Doors,2003,2004,8.6,30 ,2075,Comedy,,Comedy
219,219,Foyle's War,2002,2015,8.6,90 ,16171,"Crime, Drama, Mystery",TV-14,Crime
220,220,The Rehearsal,2022,,8.6,30 ,19718,"Documentary, Comedy",TV-MA,Documentary
221,221,Impractical Jokers,2011,,8.6,30 ,41636,"Comedy, Reality-TV",TV-14,Comedy
222,222,Wentworth,2013,2021,8.6,45 ,22818,"Crime, Drama, Thriller",TV-MA,Crime
223,223,Formula 1: Drive to Survive,2019,,8.6,40 ,42208,"Documentary, Sport",TV-MA,Documentary
224,224,Young Justice,2010,2022,8.6,23 ,42293,"Animation, Action, Adventure",TV-PG,Animation
225,225,The Great British Baking Show,2010,,8.6,60 ,11093,Reality-TV,TV-PG,Reality-TV
226,226,Pose,2018,2021,8.6,60 ,30046,Drama,TV-MA,Drama
227,227,Mr. Bean,1990,1995,8.6,25 ,122578,"Comedy, Family",TV-G,Comedy
228,228,Fruits Basket,2019,2021,8.6,24 ,6934,"Animation, Comedy, Drama",TV-14,Animation
229,229,Flight of the Conchords,2007,2009,8.6,28 ,62607,"Comedy, Music, Musical",TV-MA,Comedy
230,230,Justice League,2001,2004,8.6,22 ,47621,"Animation, Action, Adventure",TV-PG,Animation
231,231,The Venture Bros.,2003,2018,8.6,22 ,26411,"Animation, Action, Adventure",TV-14,Animation
232,232,QI,2003,,8.6,30 ,32293,"Comedy, Game-Show",TV-PG,Comedy
233,233,Banshee Origins,2013,2016,8.6,,5265,Drama,TV-MA,Drama
234,234,Spaced,1999,2001,8.6,25 ,55388,"Action, Comedy",TV-14,Action
235,235,Coupling,2000,2004,8.6,30 ,46157,"Comedy, Romance",TV-14,Comedy
236,236,"Finding Your Roots with Henry Louis Gates, Jr.",2012,,8.6,53 ,1299,"Documentary, Biography, History",TV-PG,Documentary
237,237,Making a Murderer,2015,2018,8.6,60 ,97526,"Documentary, Crime",TV-14,Documentary
238,238,Stanley Tucci: Searching for Italy,2021,2022,8.6,60 ,2333,"Documentary, Reality-TV",TV-PG,Documentary
239,239,The Honeymooners,1955,1956,8.6,30 ,5736,"Comedy, Family",TV-PG,Comedy
240,240,The Eric Andre Show,2012,,8.6,11 ,19324,"Comedy, Talk-Show",TV-MA,Comedy
241,241,The Great Pottery Throw Down,2015,,8.6,60 ,1112,"Game-Show, Reality-TV",TV-14,Game-Show
242,242,Escape to the Chateau,2016,2022,8.6,,1650,Reality-TV,TV-PG,Reality-TV
243,243,I'm Alan Partridge,1997,2002,8.6,29 ,20964,Comedy,TV-MA,Comedy
244,244,Love on the Spectrum,2019,2021,8.6,45 ,6335,"Documentary, Reality-TV, Romance",TV-14,Documentary
245,245,The Goes Wrong Show,2019,,8.6,29 ,2457,Comedy,TV-PG,Comedy
246,246,Blackadder II,1986,,8.6,176 ,47388,Comedy,TV-PG,Comedy
247,247,Phoenix Nights,2001,2002,8.6,25 ,7003,Comedy,,Comedy
248,248,Charlie Brooker's Weekly Wipe,2013,2015,8.6,,1529,Comedy,,Comedy
249,249,Blackadder the Third,1987,,8.6,180 ,44900,Comedy,TV-PG,Comedy
250,250,The Jack Benny Program,1950,1965,8.6,30 ,1524,Comedy,Not Rated,Comedy
251,251,Secret Army,1977,1979,8.6,50 ,1491,"Drama, History, War",,Drama
252,252,The George Burns and Gracie Allen Show,1950,1958,8.6,30 ,1454,Comedy,,Comedy
253,253,Through the Wormhole,2010,2017,8.6,60 ,17953,Documentary,TV-PG,Documentary
254,254,Man in the Arena,2021,,8.6,50 ,1197,"Documentary, Sport",,Documentary
255,255,"Yes, Prime Minister",1986,1987,8.6,30 ,11898,Comedy,TV-PG,Comedy
256,256,Beakman's World,1992,1997,8.6,30 ,2776,"Comedy, Family",TV-PG,Comedy
257,257,Frontline,1983,,8.6,60 ,2097,"Documentary, News",TV-MA,Documentary
258,258,Check It Out! with Dr. Steve Brule,2010,2017,8.6,11 ,6602,"Comedy, Talk-Show",TV-14,Comedy
259,259,The Great Queen Seondeok,2009,,8.6,60 ,1255,"Biography, Drama, History",,Biography
260,260,The Bugs Bunny Show,1960,1975,8.6,30 ,34275,"Animation, Comedy",TV-G,Animation
261,261,Brass Eye,1997,2001,8.6,25 ,10959,Comedy,TV-MA,Comedy
262,262,Broad City,2010,2011,8.6,,3242,"Short, Comedy",,Short
263,263,Inside the Actors Studio,1994,,8.6,65 ,5327,Talk-Show,TV-PG,Talk-Show
264,264,Studio C,2012,,8.6,30 ,1262,Comedy,,Comedy
265,265,At the Movies,1986,2010,8.6,30 ,2183,Talk-Show,TV-PG,Talk-Show
266,266,Mike Judge Presents: Tales from the Tour Bus,2017,2018,8.6,30 ,1357,"Documentary, Animation, Biography",TV-MA,Documentary
267,267,Kardes Payi,2014,2015,8.6,70 ,16599,"Comedy, Drama, Family",TV-PG,Comedy
268,268,Permanent Roommates,2014,2016,8.6,21 ,25289,"Comedy, Romance",TV-PG,Comedy
269,269,Middleditch & Schwartz,2020,,8.6,51 ,5604,Comedy,TV-MA,Comedy
270,270,Horizon,1964,,8.6,50 ,1112,Documentary,,Documentary
271,271,The Day Today,1994,,8.6,30 ,5359,Comedy,,Comedy
272,272,Impractical Jokers: Inside Jokes,2016,,8.6,30 ,2765,"Comedy, Reality-TV",TV-14,Comedy
273,273,Jake and Amir,2007,2023,8.6,,1094,"Short, Comedy",,Short
274,274,Yu-Gi-Oh! The Abridged Series,2006,,8.6,,1714,"Animation, Comedy",TV-14,Animation
275,275,Kosti,2020,,8.6,45 ,1457,"Crime, Drama, Thriller",,Crime
276,276,Match of the Day,1964,,8.6,70 ,2593,"News, Sport",,News
277,277,JonTron,2010,,8.6,,3481,Comedy,TV-14,Comedy
278,278,Meme Review,2017,,8.6,18 ,8127,Comedy,TV-MA,Comedy
279,279,Newswipe,2009,2010,8.6,29 ,1602,"Documentary, Comedy",,Documentary
280,280,Mad Jack the Pirate,1998,1999,8.6,30 ,1969,"Animation, Comedy",TV-Y,Animation
281,281,I Hate Everything: the Search for the Worst,2014,,8.6,,1924,"Animation, Comedy, Talk-Show",TV-MA,Animation
282,282,Immersion,2010,2017,8.6,,1075,Comedy,,Comedy
283,283,Happy Valley,2014,2023,8.5,58 ,48351,"Crime, Drama, Thriller",TV-MA,Crime
284,284,House of the Dragon,2022,,8.5,,308433,"Action, Adventure, Drama",TV-MA,Action
285,285,Vikings,2013,2020,8.5,44 ,541551,"Action, Adventure, Drama",TV-MA,Action
286,286,Modern Family,2009,2020,8.5,22 ,438656,"Comedy, Drama, Romance",TV-PG,Comedy
287,287,Suits,2011,2019,8.5,44 ,417126,"Comedy, Drama",TV-14,Comedy
288,288,The Last Kingdom,2015,2022,8.5,60 ,144393,"Action, Drama, History",TV-MA,Action
289,289,Ozark,2017,2022,8.5,60 ,321156,"Crime, Drama, Thriller",TV-MA,Crime
290,290,Community,2009,2015,8.5,22 ,270479,Comedy,TV-14,Comedy
291,291,Westworld,2016,2022,8.5,62 ,510298,"Drama, Mystery, Sci-Fi",TV-MA,Drama
292,292,Cobra Kai,2018,2023,8.5,30 ,189928,"Action, Comedy, Drama",TV-14,Action
293,293,Harley Quinn,2019,,8.5,23 ,31714,"Animation, Action, Adventure",TV-14,Animation
294,294,The Expanse,2015,2022,8.5,60 ,157096,"Drama, Mystery, Sci-Fi",TV-14,Drama
295,295,Bosch,2014,2021,8.5,51 ,73867,"Crime, Drama",TV-MA,Crime
296,296,Person of Interest,2011,2016,8.5,43 ,179043,"Action, Crime, Drama",TV-14,Action
297,297,Schitt's Creek,2015,2020,8.5,22 ,125208,Comedy,TV-14,Comedy
298,298,Spartacus,2010,2013,8.5,55 ,245037,"Action, Adventure, Biography",TV-MA,Action
299,299,Heartland,2007,,8.5,45 ,17500,"Drama, Family",TV-PG,Drama
300,300,Derry Girls,2018,2022,8.5,30 ,45841,Comedy,TV-MA,Comedy
301,301,Futurama,1999,2023,8.5,22 ,241665,"Animation, Adventure, Comedy",TV-14,Animation
302,302,Entourage,2004,2011,8.5,28 ,170952,"Comedy, Drama",TV-MA,Comedy
303,303,The Punisher,2017,2019,8.5,53 ,241290,"Action, Crime, Drama",TV-MA,Action
304,304,Big Little Lies,2017,2019,8.5,60 ,204268,"Crime, Drama, Mystery",TV-MA,Crime
305,305,Hannibal,2013,2015,8.5,44 ,258433,"Crime, Drama, Horror",TV-MA,Crime
306,306,Bosch: Legacy,2022,,8.5,50 ,19127,"Crime, Drama",TV-MA,Crime
307,307,The IT Crowd,2006,2013,8.5,25 ,154967,Comedy,TV-14,Comedy
308,308,Boston Legal,2004,2008,8.5,44 ,47332,"Comedy, Crime, Drama",TV-14,Comedy
309,309,Silicon Valley,2014,2019,8.5,28 ,153057,Comedy,TV-MA,Comedy
310,310,Twin Peaks,2017,,8.5,60 ,69294,"Crime, Drama, Horror",TV-MA,Crime
311,311,RuPaul's Drag Race,2009,,8.5,63 ,21077,"Game-Show, Reality-TV",TV-14,Game-Show
312,312,The Office,2001,2003,8.5,30 ,115273,"Comedy, Drama",TV-MA,Comedy
313,313,Alfred Hitchcock Presents,1955,1962,8.5,25 ,17830,"Comedy, Crime, Drama",TV-14,Comedy
314,314,Regular Show,2009,2017,8.5,23 ,47675,"Animation, Action, Adventure",TV-PG,Animation
315,315,Inside No. 9,2014,,8.5,30 ,17606,"Comedy, Crime, Drama",TV-MA,Comedy
316,316,The Boondocks,2005,2014,8.5,22 ,32031,"Animation, Action, Comedy",TV-MA,Animation
317,317,Smiling Friends,2020,,8.5,12 ,10248,"Animation, Short, Comedy",TV-MA,Animation
318,318,Beavis and Butt-Head,2022,,8.5,11 ,1737,"Animation, Comedy, Music",TV-14,Animation
319,319,Kingdom,2014,2017,8.5,43 ,18584,"Drama, Sport",TV-MA,Drama
320,320,Queer as Folk,1999,2005,8.5,47 ,21311,"Drama, Romance",TV-MA,Drama
321,321,The Knick,2014,2015,8.5,58 ,49684,"Drama, History",TV-MA,Drama
322,322,I Love Lucy,1951,1957,8.5,30 ,27253,"Comedy, Family",TV-G,Comedy
323,323,Southland,2009,2013,8.5,42 ,27372,"Crime, Drama, Thriller",TV-MA,Crime
324,324,Samurai Jack,2001,2017,8.5,25 ,54795,"Animation, Action, Adventure",TV-MA,Animation
325,325,Louie,2010,2015,8.5,22 ,79780,"Comedy, Drama",TV-MA,Comedy
326,326,Staged,2020,2022,8.5,22 ,7129,"Comedy, Drama",Not Rated,Comedy
327,327,The Prisoner,1967,1968,8.5,50 ,14298,"Drama, Mystery, Sci-Fi",TV-PG,Drama
328,328,This Country,2017,2020,8.5,21 ,6715,Comedy,TV-14,Comedy
329,329,Cracker,1993,1996,8.5,100 ,7169,"Crime, Drama, Mystery",TV-MA,Crime
330,330,The Larry Sanders Show,1992,1998,8.5,30 ,8751,Comedy,TV-MA,Comedy
331,331,Delhi Crime,2019,,8.5,50 ,23826,"Crime, Drama",TV-MA,Crime
332,332,Kolchak: The Night Stalker,1974,1975,8.5,51 ,5557,"Horror, Mystery, Thriller",TV-PG,Horror
333,333,"Auf Wiedersehen, Pet",1983,2004,8.5,60 ,3678,"Comedy, Drama",,Comedy
334,334,Hilda,2018,,8.5,24 ,11407,"Animation, Adventure, Comedy",TV-Y7,Animation
335,335,Whose Line Is It Anyway?,1998,2007,8.5,30 ,44291,"Comedy, Game-Show",TV-PG,Comedy
336,336,Black Books,2000,2004,8.5,25 ,59705,Comedy,TV-PG,Comedy
337,337,Avonlea,1990,1996,8.5,60 ,4515,"Adventure, Drama, Mystery",TV-G,Adventure
338,338,Love/Hate,2010,2014,8.5,51 ,6979,"Crime, Drama",,Crime
339,339,The New Batman Adventures,1997,1999,8.5,30 ,17750,"Animation, Action, Adventure",TV-PG,Animation
340,340,Rake,2010,2018,8.5,60 ,8139,"Comedy, Drama",Not Rated,Comedy
341,341,The Alfred Hitchcock Hour,1962,1965,8.5,50 ,4781,"Crime, Drama, Horror",TV-PG,Crime
342,342,Big Boys,2022,,8.5,24 ,2363,"Comedy, Drama",,Comedy
343,343,RuPaul's Drag Race All Stars,2012,,8.5,60 ,8800,"Game-Show, Reality-TV",TV-14,Game-Show
344,344,Grand Designs,1999,,8.5,50 ,3257,"Documentary, Reality-TV",TV-G,Documentary
345,345,Chef's Table,2015,2019,8.5,50 ,15953,Documentary,TV-MA,Documentary
346,346,Outrageous Fortune,2005,2010,8.5,45 ,2257,"Comedy, Crime, Drama",TV-MA,Comedy
347,347,Nana,2006,2007,8.5,21 ,4392,"Animation, Comedy, Drama",TV-MA,Animation
348,348,Please Like Me,2013,2016,8.5,29 ,18613,"Comedy, Drama, Romance",TV-MA,Comedy
349,349,The Tonight Show Starring Johnny Carson,1962,1992,8.5,105 ,3996,"Comedy, Talk-Show",TV-14,Comedy
350,350,This Life,1996,1997,8.5,45 ,2442,Drama,TV-MA,Drama
351,351,Time Team,1994,,8.5,55 ,1606,"Documentary, History",Not Rated,Documentary
352,352,The Incredible Dr. Pol,2011,,8.5,44 ,1819,"Documentary, Reality-TV",TV-PG,Documentary
353,353,People Just Do Nothing,2014,2018,8.5,30 ,7261,"Comedy, Music",TV-MA,Comedy
354,354,Queer Eye,2018,,8.5,45 ,19399,Reality-TV,TV-14,Reality-TV
355,355,Great Teacher Onizuka,1999,2000,8.5,24 ,9750,"Animation, Comedy, Drama",TV-MA,Animation
356,356,What's My Line?,1950,1967,8.5,30 ,1652,"Family, Game-Show",,Family
357,357,Anthony Bourdain: No Reservations,2005,2012,8.5,60 ,7360,"Adventure, Reality-TV",TV-PG,Adventure
358,358,The State,1993,2009,8.5,30 ,2879,Comedy,TV-14,Comedy
359,359,RuPaul's Drag Race UK,2019,,8.5,60 ,4208,"Game-Show, Reality-TV",TV-14,Game-Show
360,360,The Whitest Kids U'Know,2007,2011,8.5,15 ,5356,Comedy,TV-MA,Comedy
361,361,The Angry Video Game Nerd,2004,,8.5,35 ,15388,Comedy,TV-MA,Comedy
362,362,Der Tatortreiniger,2011,2018,8.5,26 ,7413,"Comedy, Crime",,Comedy
363,363,SCTV,1976,1981,8.5,30 ,2665,Comedy,TV-PG,Comedy
364,364,Physics Wallah,2022,,8.5,50 ,3659,"Biography, Drama",,Biography
365,365,Misaeng,2014,,8.5,60 ,2186,Drama,,Drama
366,366,Better Late Than Never,2016,2018,8.5,60 ,2346,"Documentary, Comedy",TV-14,Documentary
367,367,Men in Kilts: A Roadtrip with Sam and Graham,2021,,8.5,30 ,2367,"Documentary, Comedy, Reality-TV",TV-14,Documentary
368,368,Robotech,1985,,8.5,30 ,3762,"Animation, Action, Adventure",TV-Y7,Animation
369,369,InuYasha: The Final Act,2009,2010,8.5,24 ,3203,"Animation, Action, Adventure",TV-14,Animation
370,370,The Forsyte Saga,1967,,8.5,50 ,1061,"Drama, Romance",,Drama
371,371,The Three Stooges Show,1960,1972,8.5,90 ,1142,"Comedy, Family",TV-G,Comedy
372,372,All Elite Wrestling: Dynamite,2019,,8.5,120 ,1546,"Action, Sport",TV-14,Action
373,373,In Search of...,1976,1982,8.5,30 ,1042,"Documentary, Mystery, Sci-Fi",Not Rated,Documentary
374,374,The Colbert Report,2005,2014,8.5,30 ,38946,"Comedy, News, Talk-Show",TV-14,Comedy
375,375,Honest Trailers,2012,,8.5,5 ,4640,Comedy,TV-14,Comedy
376,376,Louis Theroux's Weird Weekends,1998,2000,8.5,60 ,3196,Documentary,Not Rated,Documentary
377,377,The Surgeon's Cut,2020,,8.5,,1091,Documentary,TV-14,Documentary
378,378,Norm Macdonald Has a Show,2018,,8.5,30 ,3709,"Comedy, Talk-Show",,Comedy
379,379,Monkey Dust,2003,2005,8.5,29 ,2185,"Animation, Comedy, Horror",TV-MA,Animation
380,380,Clark and Michael,2007,,8.5,,1700,Comedy,,Comedy
381,381,The Bugs Bunny/Road Runner Hour,1968,1978,8.5,55 ,10217,"Animation, Comedy",TV-G,Animation
382,382,Beautiful People,2008,2009,8.5,,1348,Comedy,,Comedy
383,383,Metal Evolution,2011,2014,8.5,,2560,"Documentary, Music",,Documentary
384,384,Série Noire,2014,,8.5,24 ,1058,"Comedy, Crime, Drama",,Comedy
385,385,TableTop,2012,2017,8.5,30 ,1151,"Comedy, Game-Show",,Comedy
386,386,Barely Speaking with Arnub,2014,,8.5,,1491,"Comedy, News, Talk-Show",,Comedy
387,387,The Being Frank Show,2010,,8.5,,6723,Talk-Show,,Talk-Show
388,388,Chapter 2,2018,,8.5,44 ,3359,Drama,,Drama
389,389,The Legend of Vox Machina,2022,,8.4,30 ,30415,"Animation, Action, Adventure",TV-MA,Animation
390,390,Supernatural,2005,2020,8.4,44 ,451350,"Drama, Fantasy, Horror",TV-14,Drama
391,391,Andor,2022,,8.4,40 ,119754,"Action, Adventure, Drama",TV-14,Action
392,392,Euphoria,2019,,8.4,55 ,193932,Drama,TV-MA,Drama
393,393,Outlander,2014,,8.4,60 ,162382,"Drama, Fantasy, Romance",TV-MA,Drama
394,394,The Bear,2022,,8.4,30 ,80737,"Comedy, Drama",TV-MA,Comedy
395,395,The Handmaid's Tale,2017,,8.4,60 ,243015,"Drama, Sci-Fi, Thriller",TV-MA,Drama
396,396,Psych,2006,2014,8.4,44 ,99457,"Comedy, Crime, Mystery",TV-PG,Comedy
397,397,Fringe,2008,2013,8.4,46 ,245122,"Drama, Mystery, Sci-Fi",TV-14,Drama
398,398,Brooklyn Nine-Nine,2013,2021,8.4,22 ,323923,"Comedy, Crime",TV-14,Comedy
399,399,My Hero Academia,2016,,8.4,24 ,65740,"Animation, Action, Adventure",TV-14,Animation
400,400,Banshee,2013,2016,8.4,60 ,107428,"Action, Crime, Drama",TV-MA,Action
401,401,Scrubs,2001,2010,8.4,22 ,259176,"Comedy, Drama",TV-14,Comedy
402,402,Luther,2010,2019,8.4,60 ,139156,"Crime, Drama, Mystery",TV-MA,Crime
403,403,Barry,2018,,8.4,30 ,86064,"Action, Comedy, Crime",TV-MA,Action
404,404,Billions,2016,,8.4,60 ,95906,Drama,TV-MA,Drama
405,405,24,2001,2010,8.4,44 ,188869,"Action, Crime, Drama",TV-14,Action
406,406,Star Wars: The Clone Wars,2008,2020,8.4,23 ,101120,"Animation, Action, Adventure",TV-PG,Animation
407,407,Stargate SG-1,1997,2007,8.4,44 ,95324,"Action, Adventure, Drama",TV-14,Action
408,408,Star Trek,1966,1969,8.4,50 ,85793,"Action, Adventure, Sci-Fi",TV-PG,Action
409,409,M*A*S*H,1972,1983,8.4,25 ,58811,"Comedy, Drama, War",TV-PG,Comedy
410,410,After Life,2019,2022,8.4,30 ,139244,"Comedy, Drama",TV-MA,Comedy
411,411,"Love, Death & Robots",2019,,8.4,15 ,173713,"Animation, Short, Action",TV-MA,Animation
412,412,The Americans,2013,2018,8.4,44 ,101781,"Crime, Drama, Mystery",TV-MA,Crime
413,413,The Good Wife,2009,2016,8.4,43 ,77469,"Crime, Drama, Mystery",TV-14,Crime
414,414,Veronica Mars,2004,2019,8.4,44 ,74615,"Crime, Drama, Mystery",TV-14,Crime
415,415,Doc Martin,2004,2022,8.4,46 ,17604,"Comedy, Drama, Romance",TV-14,Comedy
416,416,Veep,2012,2019,8.4,28 ,57564,Comedy,TV-MA,Comedy
417,417,Broadchurch,2013,2017,8.4,48 ,115903,"Crime, Drama, Mystery",TV-MA,Crime
418,418,Narcos: Mexico,2018,2021,8.4,50 ,85931,"Crime, Drama",TV-MA,Crime
419,419,The Andy Griffith Show,1960,1968,8.4,30 ,15524,"Comedy, Family",TV-G,Comedy
420,420,Last Tango in Halifax,2012,2020,8.4,60 ,7580,"Comedy, Drama, Romance",TV-14,Comedy
421,421,Top Boy,2011,,8.4,60 ,27113,"Crime, Drama, Thriller",TV-MA,Crime
422,422,The Owl House,2020,2023,8.4,22 ,13427,"Animation, Action, Adventure",TV-Y7-FV,Animation
423,423,Doctor Who,1963,1989,8.4,45 ,37897,"Adventure, Drama, Family",TV-PG,Adventure
424,424,American Crime Story,2016,,8.4,42 ,96167,"Biography, Crime, Drama",TV-MA,Biography
425,425,The Legend of Korra,2012,2014,8.4,23 ,124441,"Animation, Action, Adventure",TV-PG,Animation
426,426,Warrior,2019,,8.4,60 ,27483,"Action, Crime, Drama",TV-MA,Action
427,427,All in the Family,1971,1979,8.4,30 ,17218,"Comedy, Drama",TV-PG,Comedy
428,428,Pachinko,2022,,8.4,55 ,9287,Drama,TV-MA,Drama
429,429,The Wonder Years,1988,1993,8.4,22 ,38630,"Comedy, Drama, Family",TV-PG,Comedy
430,430,Babylon 5,1993,1998,8.4,45 ,32317,"Action, Adventure, Drama",TV-PG,Action
431,431,Ash vs Evil Dead,2015,2018,8.4,30 ,74921,"Action, Comedy, Fantasy",TV-MA,Action
432,432,Upright,2019,,8.4,30 ,5185,"Comedy, Drama",Not Rated,Comedy
433,433,Brassic,2019,,8.4,43 ,10084,"Comedy, Drama",TV-MA,Comedy
434,434,Red Dwarf,1988,,8.4,30 ,35623,"Comedy, Sci-Fi",TV-14,Comedy
435,435,Made in Abyss,2017,,8.4,325 ,12145,"Animation, Action, Adventure",TV-14,Animation
436,436,All Creatures Great and Small,1978,1990,8.4,50 ,3905,"Comedy, Drama",TV-PG,Comedy
437,437,The Dick Van Dyke Show,1961,1966,8.4,30 ,10949,"Comedy, Family",TV-G,Comedy
438,438,The Inbetweeners,2008,2010,8.4,25 ,89537,Comedy,TV-14,Comedy
439,439,Utopia,2013,2014,8.4,50 ,47757,"Drama, Mystery, Sci-Fi",TV-MA,Drama
440,440,Broad City,2014,2019,8.4,22 ,33102,Comedy,TV-14,Comedy
441,441,This Is Going to Hurt,2022,,8.4,45 ,13722,"Comedy, Drama",TV-14,Comedy
442,442,Pushing Daisies,2007,2009,8.4,44 ,57668,"Comedy, Drama, Fantasy",TV-PG,Comedy
443,443,Carnivàle,2003,2005,8.4,55 ,45315,"Drama, Fantasy, Mystery",TV-MA,Drama
444,444,Halt and Catch Fire,2014,2017,8.4,60 ,33096,Drama,TV-14,Drama
445,445,Alone,2015,,8.4,44 ,5879,"Documentary, Game-Show, Reality-TV",TV-14,Documentary
446,446,My So-Called Life,1994,1995,8.4,60 ,21096,"Comedy, Drama, Romance",TV-14,Comedy
447,447,'Allo 'Allo!,1982,1992,8.4,45 ,25841,"Comedy, History, War",,Comedy
448,448,X-Men: The Animated Series,1992,1997,8.4,23 ,44306,"Animation, Action, Adventure",TV-Y7,Animation
449,449,Whose Line Is It Anyway?,2013,,8.4,22 ,8831,"Comedy, Game-Show",TV-PG,Comedy
450,450,Wayne,2019,,8.4,30 ,16561,"Action, Comedy",TV-MA,Action
451,451,Sharpe,1993,2008,8.4,,1572,"Action, Adventure, Drama",TV-14,Action
452,452,The Dark Crystal: Age of Resistance,2019,,8.4,60 ,25529,"Animation, Adventure, Drama",TV-PG,Animation
453,453,Have Gun - Will Travel,1957,1963,8.4,25 ,2983,Western,Approved,Western
454,454,Combat!,1962,1967,8.4,60 ,2844,"Action, Drama, War",,Action
455,455,Life on Mars,2006,2007,8.4,60 ,31064,"Crime, Drama, Mystery",TV-14,Crime
456,456,Australian Survivor,2016,,8.4,60 ,1096,"Adventure, Game-Show, Reality-TV",,Adventure
457,457,Spider-Man: The Animated Series,1994,1998,8.4,23 ,32524,"Animation, Action, Adventure",TV-Y,Animation
458,458,The Graham Norton Show,2007,,8.4,60 ,12382,"Comedy, Music, Talk-Show",TV-14,Comedy
459,459,Corner Gas,2004,2009,8.4,30 ,7630,Comedy,TV-14,Comedy
460,460,Julie and the Phantoms,2020,,8.4,,10620,"Adventure, Comedy, Drama",TV-G,Adventure
461,461,The Mighty Boosh,2003,2007,8.4,30 ,22937,"Comedy, Fantasy, Musical",TV-PG,Comedy
462,462,Mr. Show with Bob and David,1995,1998,8.4,27 ,10041,Comedy,TV-MA,Comedy
463,463,The Muppet Show,1976,1981,8.4,30 ,25057,"Comedy, Family, Music",TV-G,Comedy
464,464,Trollhunters: Tales of Arcadia,2016,2018,8.4,23 ,17510,"Animation, Action, Adventure",TV-Y7,Animation
465,465,The Kids in the Hall,1988,2021,8.4,25 ,10666,Comedy,TV-14,Comedy
466,466,Infinity Train,2019,2021,8.4,11 ,8213,"Animation, Action, Adventure",TV-PG,Animation
467,467,"Upstairs, Downstairs",1971,1975,8.4,60 ,3303,Drama,TV-14,Drama
468,468,Jeeves and Wooster,1990,1993,8.4,55 ,12661,Comedy,TV-PG,Comedy
469,469,The League of Gentlemen,1999,2017,8.4,60 ,11568,"Comedy, Horror",TV-MA,Comedy
470,470,Invader ZIM,2001,2006,8.4,24 ,21726,"Animation, Action, Adventure",TV-Y7,Animation
471,471,Kath & Kim,2002,2007,8.4,26 ,4565,Comedy,Not Rated,Comedy
472,472,Just Add Magic,2015,2019,8.4,27 ,3094,"Comedy, Drama, Family",TV-Y,Comedy
473,473,The Disastrous Life of Saiki K.,2016,2018,8.4,24 ,8293,"Animation, Comedy, Fantasy",TV-14,Animation
474,474,The Magical World of Disney,1954,1997,8.4,120 ,2090,"Adventure, Drama, Family",TV-G,Adventure
475,475,Between Two Ferns with Zach Galifianakis,2008,,8.4,4 ,8947,"Short, Comedy, Talk-Show",TV-14,Short
476,476,The Adventures of Pete & Pete,1992,1996,8.4,30 ,9617,"Comedy, Drama, Family",TV-Y,Comedy
477,477,So Weird,1999,2001,8.4,30 ,3091,"Adventure, Family, Mystery",TV-Y7,Adventure
478,478,Bodies,2004,2006,8.4,60 ,1288,Drama,,Drama
479,479,Police Squad!,1982,,8.4,24 ,18963,"Comedy, Crime",TV-PG,Comedy
480,480,Green Wing,2004,2007,8.4,65 ,12257,"Comedy, Drama",TV-14,Comedy
481,481,Scissor Seven,2018,,8.4,13 ,3236,"Animation, Action, Adventure",TV-14,Animation
482,482,My Mad Fat Diary,2013,2015,8.4,47 ,18044,"Comedy, Drama, Romance",TV-MA,Comedy
483,483,Robin Hood,1984,1986,8.4,60 ,4590,"Action, Drama, Fantasy",TV-PG,Action
484,484,Inside Look: The People v. O.J. Simpson - American Crime Story,2016,,8.4,5 ,26612,"Documentary, Short",TV-14,Documentary
485,485,Any Day Now,1998,2002,8.4,60 ,1022,Drama,,Drama
486,486,Hard Knocks,2001,,8.4,55 ,2267,"Documentary, Reality-TV, Sport",TV-MA,Documentary
487,487,Terriers,2010,,8.4,45 ,10969,"Comedy, Crime, Drama",TV-MA,Comedy
488,488,"Gordon, Gino & Fred's Road Trip",2018,,8.4,45 ,1601,"Adventure, Comedy, Reality-TV",,Adventure
489,489,Last Chance U,2016,2020,8.4,55 ,7150,"Documentary, Sport",TV-MA,Documentary
490,490,A Nero Wolfe Mystery,2001,2002,8.4,46 ,1809,"Action, Drama, Mystery",TV-PG,Action
491,491,The Phil Silvers Show,1955,1959,8.4,30 ,1630,"Comedy, Family",TV-G,Comedy
492,492,Reading Rainbow,1983,2006,8.4,30 ,4818,Family,TV-Y,Family
493,493,Car Masters: Rust to Riches,2018,,8.4,40 ,11017,Reality-TV,TV-PG,Reality-TV
494,494,Rumpole of the Bailey,1978,1992,8.4,60 ,1509,"Crime, Drama, Mystery",Not Rated,Crime
495,495,Review,2014,2017,8.4,30 ,6103,Comedy,TV-14,Comedy
496,496,Monkey,1978,2004,8.4,,1886,"Action, Family, Adventure",,Action
497,497,Selena + Chef,2020,,8.4,,1535,Reality-TV,TV-PG,Reality-TV
498,498,Red vs. Blue,2003,,8.4,6 ,9527,"Animation, Short, Action",TV-MA,Animation
